profession-capability-framework	profession-capability-framework-cluster	profession-capability-framework-job-family	profession-capability-framework-job-title	profession-capability-framework-capability-type	profession-capability-framework-capability	profession-capability-framework-mastery-level	start-date	end-date
10920	13	119	1074	1	1085	13		
10921	11	101	1011	1	1086	12		
10922	11	101	1012	1	1086	11		
10923	11	101	1009	1	1086	13		
10924	11	101	1008	1	1086	13		
10925	11	101	1010	1	1086	13		
10926	12	110	1047	1	1087	13		
10927	12	110	1046	1	1087	13		
10928	12	110	1048	1	1087	12		
10929	16	138	1054	1	1088	11		
10930	16	138	1049	1	1088	14		
10931	16	138	1053	1	1088	12		
10932	16	138	1050	1	1088	14		
10933	16	138	1051	1	1088	13		
10934	16	138	1052	1	1088	12		
10935	13	115	1060	1	1089	12		
10936	13	124	1090	1	1089	11		
10937	13	124	1089	1	1089	12		
10938	13	124	1091	1	1089	11		
10939	13	116	1062	1	1089	12		
10940	13	117	1068	1	1089	12		
10941	13	118	1072	1	1089	12		
10942	13	122	1081	1	1089	13		
10943	13	119	1073	1	1089	14		
10944	13	123	1085	1	1089	13		
10945	13	120	1077	1	1089	12		
10946	12	113	1130	1	1089	12		
10947	13	119	1076	1	1089	11		
10948	13	119	1075	1	1089	13		
10949	13	115	1058	1	1089	13		
10950	13	116	1063	1	1089	12		
10951	13	117	1066	1	1089	12		
10952	13	118	1070	1	1089	12		
10953	12	113	1128	1	1089	12		
10954	13	125	1092	1	1089	14		
10955	13	120	1078	1	1089	13		
10956	13	122	1082	1	1089	13		
10957	13	122	1084	1	1089	12		
10958	13	116	1061	1	1089	13		
10959	13	117	1065	1	1089	13		
10960	13	118	1069	1	1089	13		
10961	12	113	1127	1	1089	13		
10962	13	121	1080	1	1089	12		
10963	13	121	1079	1	1089	13		
10964	13	116	1064	1	1089	12		
10965	13	117	1067	1	1089	12		
10966	13	118	1071	1	1089	12		
10967	12	113	1129	1	1089	12		
10968	13	119	1074	1	1089	13		
10969	13	122	1083	1	1089	12		
10970	13	123	1087	1	1089	12		
10971	13	125	1095	1	1089	12		
10972	13	123	1088	1	1089	11		
10973	13	123	1086	1	1089	12		
10974	13	125	1094	1	1089	12		
10975	13	125	1093	1	1089	13		
10976	13	117	1151	1	1090	11		
10977	13	115	1060	1	1090	12		
10978	13	117	1068	1	1090	11		
10979	13	119	1073	1	1090	13		
10980	13	123	1085	1	1090	14		
10981	13	119	1076	1	1090	12		
10982	13	119	1075	1	1090	12		
10983	13	115	1058	1	1090	13		
10984	13	117	1066	1	1090	12		
10985	13	117	1065	1	1090	13		
10986	13	115	1059	1	1090	12		
10987	13	117	1067	1	1090	12		
10988	13	119	1074	1	1090	13		
10989	13	123	1087	1	1090	12		
10990	13	123	1088	1	1090	12		
10991	13	123	1086	1	1090	13		
10992	12	111	1104	1	1091	11		
10993	12	112	1113	1	1091	11		
10994	12	111	1101	1	1091	12		
10995	12	112	1111	1	1091	13		
10996	12	111	1103	1	1091	12		
10997	12	112	1112	1	1091	12		
10998	12	111	1098	1	1091	13		
10999	12	111	1099	1	1091	13		
11000	12	112	1107	1	1091	14		
11001	12	112	1108	1	1091	13		
11002	12	111	1096	1	1091	13		
11003	12	111	1097	1	1091	13		
11004	12	112	1105	1	1091	14		
11005	12	112	1106	1	1091	13		
11006	12	111	1100	1	1091	13		
11007	12	111	1102	1	1091	13		
11008	12	112	1109	1	1091	14		
11009	12	112	1110	1	1091	13		
11010	16	138	1054	1	1092	11		
11011	16	138	1049	1	1092	14		
11012	16	138	1053	1	1092	11		
11013	16	138	1050	1	1092	13		
11014	16	138	1051	1	1092	12		
11015	16	138	1052	1	1092	12		
11016	12	110	1047	1	1093	14		
11017	12	110	1046	1	1093	14		
11018	12	110	1048	1	1093	12		
11019	16	132	1024	1	1094	11		
11020	11	101	1011	1	1094	12		
11021	16	132	1022	1	1094	12		
11022	16	133	1025	1	1094	14		
11023	16	132	1019	1	1094	14		
11024	11	101	1012	1	1094	11		
11025	16	132	1023	1	1094	11		
11026	16	132	1020	1	1094	14		
11027	16	134	1026	1	1094	14		
11028	11	101	1009	1	1094	14		
11029	11	101	1008	1	1094	14		
11030	11	101	1010	1	1094	13		
11031	16	132	1021	1	1094	13		
11032	16	134	1027	1	1094	13		
11033	16	138	1054	1	1095	11		
11034	16	138	1049	1	1095	14		
11035	16	138	1053	1	1095	11		
11036	16	138	1050	1	1095	13		
11037	16	138	1051	1	1095	12		
11038	16	138	1052	1	1095	12		
11039	11	105	1018	1	1096	12		
11040	11	105	1014	1	1096	14		
11041	11	105	1015	1	1096	14		
11042	11	105	1017	1	1096	13		
11043	11	105	1016	1	1096	13		
11044	11	104	1013	1	1096	14		
11045	16	132	1024	1	1097	11		
11046	16	135	1033	2	1097	11		
11047	16	136	1039	2	1097	15		
11048	16	137	1045	1	1097	11		
11049	13	115	1060	1	1097	12		
11050	16	132	1022	1	1097	13		
11051	16	133	1025	1	1097	14		
11052	16	135	1031	2	1097	13		
11053	16	132	1019	1	1097	14		
11054	16	135	1028	2	1097	14		
11055	16	136	1034	2	1097	14		
11056	13	119	1073	1	1097	14		
11057	16	137	1040	1	1097	14		
11058	16	136	1037	2	1097	12		
11059	13	119	1076	1	1097	12		
11060	13	119	1075	1	1097	12		
11061	16	132	1023	1	1097	12		
11062	16	135	1032	2	1097	12		
11063	16	136	1038	2	1097	11		
11064	16	137	1044	1	1097	12		
11065	13	115	1058	1	1097	13		
11066	16	132	1020	1	1097	14		
11067	16	135	1029	2	1097	14		
11068	16	136	1035	2	1097	14		
11069	16	137	1041	1	1097	14		
11070	16	134	1026	1	1097	14		
11071	13	115	1059	1	1097	12		
11072	16	132	1021	1	1097	14		
11073	16	135	1030	2	1097	14		
11074	16	136	1036	2	1097	13		
11075	13	119	1074	1	1097	13		
11076	16	137	1042	1	1097	14		
11077	16	137	1043	1	1097	13		
11078	16	134	1027	1	1097	14		
11079	12	109	1131	2	1098	14		
11080	12	109	1133	2	1098	11		
11081	12	109	1132	2	1098	12		
11082	12	106	1118	2	1099	11		
11083	12	106	1115	2	1099	13		
11084	12	106	1114	2	1099	14		
11085	12	106	1116	2	1099	12		
11086	12	106	1117	2	1099	12		
11087	12	108	1121	1	1100	11		
11088	12	108	1119	1	1100	13		
11089	12	108	1120	1	1100	13		
11090	12	113	1153	1	1101	11		
11091	12	108	1121	1	1101	12		
11092	12	111	1101	1	1101	12		
11093	12	112	1111	1	1101	12		
11094	12	113	1130	1	1101	12		
11095	12	111	1103	1	1101	11		
11096	12	112	1112	1	1101	11		
11097	12	111	1098	1	1101	13		
11098	12	111	1099	1	1101	13		
11099	12	112	1107	1	1101	13		
11100	12	112	1108	1	1101	13		
11101	12	113	1128	1	1101	13		
11102	12	108	1119	1	1101	14		
11103	12	108	1120	1	1101	13		
11104	12	111	1096	1	1101	14		
11105	12	111	1097	1	1101	14		
11106	12	112	1105	1	1101	13		
11107	12	112	1106	1	1101	13		
11108	12	113	1127	1	1101	13		
11109	12	111	1100	1	1101	13		
11110	12	111	1102	1	1101	13		
11111	12	112	1109	1	1101	13		
11112	12	112	1110	1	1101	13		
11113	12	113	1129	1	1101	13		
11114	12	113	1153	1	1102	11		
11115	12	111	1101	1	1102	12		
11116	12	112	1111	1	1102	12		
11117	12	113	1130	1	1102	12		
11118	12	111	1103	1	1102	11		
11119	12	112	1112	1	1102	11		
11120	12	111	1098	1	1102	13		
11121	12	111	1099	1	1102	13		
11122	12	112	1107	1	1102	14		
11123	12	112	1108	1	1102	13		
11124	12	113	1128	1	1102	14		
11125	12	111	1096	1	1102	13		
11126	12	111	1097	1	1102	13		
11127	12	112	1105	1	1102	14		
11128	12	112	1106	1	1102	13		
11129	12	113	1127	1	1102	14		
11130	12	111	1100	1	1102	13		
11131	12	111	1102	1	1102	13		
11132	12	112	1109	1	1102	13		
11133	12	112	1110	1	1102	13		
11134	12	113	1129	1	1102	13		
11135	11	102	1006	1	1103	11		
11136	11	102	1005	1	1103	12		
11137	11	102	1003	1	1103	14		
11138	11	102	1004	1	1103	13		
11139	14	126	1140	2	1104	13		
11140	14	127	1142	2	1104	13		
11141	14	128	1146	1	1104	14		
11142	14	127	1144	2	1104	11		
11143	14	127	1143	2	1104	12		
11144	14	128	1147	1	1104	13		
11145	14	128	1148	1	1104	12		
11146	14	126	1141	2	1104	13		
11147	14	127	1145	2	1104	11		
11148	14	128	1149	1	1104	11		
11149	13	116	1062	1	1105	11		
11150	13	117	1068	1	1105	11		
11151	13	118	1072	1	1105	11		
